type,tag-serial-number,burst-start-timestamp,annotation,eobs_acceleration_sampling_frequency_per_axis,sample-timestamp,acceleration-x,acceleration-y,acceleration-z
acc,0,2020-07-21 06:35:08.000,"keep",10.0,2020-07-21 06:35:10.100,1895.0,2320.0,1632.0
acc,0,2020-07-21 06:35:08.000,"keep",10.0,2020-07-21 06:35:10.200,1940.0,2386.0,1741.0
acc,0,2020-07-21 06:35:08.000,"keep",10.0,2020-07-21 06:35:10.300,1555.0,2120.0,1544.0
acc,0,2020-07-21 06:35:08.000,"keep",10.0,2020-07-21 06:35:10.400,1798.0,2330.0,1573.0
acc,0,2020-07-21 06:35:08.000,"keep",10.0,2020-07-21 06:35:10.500,1947.0,2242.0,1606.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:20.000,1840.0,2458.0,1592.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:20.100,1915.0,2173.0,1665.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:20.200,1830.0,2315.0,1599.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:20.300,1977.0,2457.0,1599.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:20.400,1939.0,2241.0,1576.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:20.500,1944.0,2360.0,1693.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:20.600,1720.0,2264.0,1649.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:20.700,1880.0,2372.0,1588.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:20.800,1949.0,2249.0,1608.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:20.900,1943.0,2164.0,1639.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:21.000,1797.0,2405.0,1745.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:21.100,1882.0,2220.0,1568.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:21.200,1860.0,2383.0,1685.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:21.300,1954.0,2251.0,1590.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:21.400,1831.0,2233.0,1582.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:21.500,1947.0,2270.0,1644.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:21.600,1888.0,2089.0,1740.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:21.700,1652.0,2400.0,1643.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:21.800,1900.0,2181.0,1628.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:21.900,1778.0,2311.0,1721.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:22.000,1828.0,2443.0,1712.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:22.100,1598.0,2199.0,1610.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:22.200,1839.0,2290.0,1646.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:22.300,1872.0,2195.0,1746.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:22.400,1684.0,2283.0,1598.0
acc,0,2020-07-21 06:35:20.000,"keep",10.0,2020-07-21 06:35:22.500,1842.0,2358.0,1651.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:40.000,1947.0,2293.0,1589.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:40.100,1955.0,2154.0,1664.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:40.200,1818.0,2342.0,1635.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:40.300,2005.0,2207.0,1600.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:40.400,2013.0,2305.0,1658.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:40.500,2073.0,2379.0,1672.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:40.600,1749.0,2118.0,1601.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:40.700,1835.0,2430.0,1564.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:40.800,1936.0,2149.0,1682.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:40.900,1827.0,2397.0,1595.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:41.000,1950.0,2336.0,1585.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:41.100,1823.0,2329.0,1639.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:41.200,1866.0,2421.0,1662.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:41.300,1581.0,2095.0,1608.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:41.400,1764.0,2321.0,1561.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:41.500,1930.0,2202.0,1652.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:41.600,1525.0,2243.0,1573.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:41.700,1711.0,2369.0,1713.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:41.800,1968.0,2251.0,1641.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:41.900,1982.0,2284.0,1796.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:42.000,1963.0,2206.0,1661.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:42.100,1783.0,2476.0,1620.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:42.200,1789.0,2316.0,1655.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:42.300,1703.0,2102.0,1688.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:42.400,1604.0,2488.0,1615.0
acc,0,2020-07-21 06:35:40.000,"keep",10.0,2020-07-21 06:35:42.500,1922.0,2241.0,1622.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:08.000,1604.0,2417.0,1633.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:08.100,1680.0,2209.0,1709.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:08.200,1675.0,2247.0,1710.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:08.300,1712.0,2259.0,1670.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:08.400,1707.0,2179.0,1641.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:08.500,1755.0,2285.0,1716.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:08.600,1670.0,2307.0,1752.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:08.700,1732.0,2206.0,1674.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:08.800,1737.0,2297.0,1638.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:08.900,1782.0,2389.0,1605.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:09.000,1864.0,2175.0,1660.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:09.100,1827.0,2408.0,1604.0
