"","dog","no.days","date","day","time","longitude","latitude","height","fix.type","fix.status","gps.flag","gps.noise","time.to.fix","date.2nd","day.2nd","time.2nd","batt","temp","speed","heading","speed.inaccuracy","heading.inaccuracy"
"47","GPS",4888,"21.7.2020","Tu","01:45:00",103.7525451,1.3906602,48.8,3,"A",1,104,19,"21.7.2020","Tu","01:45:20",3618,23,0.39,0,1.2,35.07
"48","GPS",4888,"21.7.2020","Tu","01:46:01",103.752581,1.3905851,68.3,3,"A",1,103,28,"21.7.2020","Tu","01:46:29",3609,23,0.31,0,2.2,30.98
"49","GPS",4888,"21.7.2020","Tu","01:47:01",103.7523659,1.3907441,-13,3,"A",1,104,17,"21.7.2020","Tu","01:47:18",3599,23,0.4,0,3.02,36.61
"50","GPS",4888,"21.7.2020","Tu","01:48:00",103.7524621,1.3906395,21.5,3,"A",1,110,16,"21.7.2020","Tu","01:48:16",3608,23,0.71,103.55,0.54,7.42
"51","GPS",4888,"21.7.2020","Tu","01:49:00",103.7519098,1.3907165,14.2,3,"A",1,111,5,"21.7.2020","Tu","01:49:06",3610,23,1.79,256.25,0.65,7.68
"52","GPS",4888,"21.7.2020","Tu","01:50:00",0,0,0,0,"B",1,110,6,"21.7.2020","Tu","01:50:07",3618,23,0,0,300,10000
"53","GPS",4888,"21.7.2020","Tu","01:51:00",103.7509567,1.3909433,23.3,3,"A",1,111,6,"21.7.2020","Tu","01:51:07",3623,24,1.12,114.03,0.22,6.66
"54","GPS",4888,"21.7.2020","Tu","01:52:01",103.7516599,1.390791,18.1,3,"A",1,113,5,"21.7.2020","Tu","01:52:07",3623,24,1.28,115.34,0.38,7.42
"55","GPS",4888,"21.7.2020","Tu","01:53:01",103.7523604,1.3906626,14.2,3,"A",1,112,4,"21.7.2020","Tu","01:53:06",3624,24,0.81,122.55,0.61,8.7
"56","GPS",4888,"21.7.2020","Tu","01:54:01",103.7524656,1.3906745,27.3,3,"A",1,104,10,"21.7.2020","Tu","01:54:12",3625,24,0.09,0,0.83,25.6
"57","GPS",4888,"21.7.2020","Tu","01:55:00",103.7524481,1.3906993,38.3,3,"A",1,103,13,"21.7.2020","Tu","01:55:13",3623,24,0.16,0,0.97,22.02
"58","GPS",4888,"21.7.2020","Tu","01:56:01",103.7524665,1.3907355,34.5,3,"A",1,103,18,"21.7.2020","Tu","01:56:20",3618,24,0.05,0,1.05,27.14
"59","GPS",4888,"21.7.2020","Tu","01:57:00",103.7524607,1.3906441,34.2,3,"A",1,104,13,"21.7.2020","Tu","01:57:14",3613,24,1.18,0,3.31,24.83
"60","GPS",4888,"21.7.2020","Tu","01:58:00",103.7525043,1.3906427,33.9,3,"A",1,104,20,"21.7.2020","Tu","01:58:20",3618,23,0.11,0.66,1.08,22.78
"61","GPS",4888,"21.7.2020","Tu","01:59:00",103.7525034,1.3907113,40.8,3,"A",1,103,13,"21.7.2020","Tu","01:59:14",3612,24,0.24,357.83,2.81,32.51
