"","behaviour","mean.X","mean.Y","mean.Z","min.X","min.Y","min.Z","kurt.X","kurt.Y","kurt.Z","skew.X","skew.Y","skew.Z","max.X","max.Y","max.Z","sd.X","sd.Y","sd.Z","range.X","range.Y","range.Z","pitch","roll","odba","freq.X","freq.Y","freq.Z","amp.X","amp.Y","amp.Z","index"
"2342","stand",9.09489009711523e-14,-9.09491232325976e-14,4.54776841185556e-14,-48.5999999999999,-112.65,-73.55,0.410230402524011,-0.022223922158358,1.08538283438154,0.879804700098704,0.744234103390684,1.10850236930578,91.4000000000001,179.35,185.45,34.0871946939795,72.9681076693243,63.5853963703848,140,292,259,-0.640753155334529,0.94886223047363,2538.9,43872,47833,34291,2193.6,2391.65,1714.55,"1841"
"2505","walk",-4.5474908560994e-14,-9.09473885091216e-14,-9.09490364964238e-14,-222.7,-288.4,-221.65,-1.23360082215687,-0.127697003883855,0.278403017701349,-0.102269794295299,-0.50456112830278,0.383219956115646,204.3,264.6,337.35,120.921940893593,131.701176911978,130.644666739092,427,553,559,-0.595746888217422,0.951437020715258,5970.2,37974,45588,32513,1898.7,2279.4,1625.65,"2274"
"2282","stand",9.09499905943356e-14,9.09499905943356e-14,9.09492099687714e-14,-26.0999999999999,-39.3499999999999,-29.5999999999999,-1.02851125551574,-0.67824047850772,-1.32478973898313,0.340905332074186,-0.661827382384202,-0.128155581508465,36.9000000000001,28.6500000000001,30.4000000000001,18.3644393211159,19.3643051976949,17.7331090870929,63,68,60,-0.658379046915142,0.950212091124344,909.1,44522,46827,33472,2226.1,2341.35,1673.6,"1842"
"2494","walk",-9.09466946197313e-14,-1.81900848550409e-13,-9.09487762879024e-14,-329.4,-220.55,-117.15,-1.28002444876255,-0.893180281031646,-0.412752598541507,-0.277713891954842,-0.188225421839174,0.840366712589332,252.6,225.45,196.85,179.679656464967,123.695498365096,86.1285911328307,582,446,314,-0.655305971869198,0.941931483498156,6334.9,43748,45951,33383,2187.4,2297.55,1669.15,"1986"
"2190","sit",-9.09477354538169e-14,9.09463476750361e-14,4.54795923143791e-14,-115.4,-109.35,-113.05,-0.201423971073989,-1.08555914995031,-0.825280039984515,0.0950215960560755,-0.0618687146998986,0.203223527860096,94.5999999999999,99.6500000000001,105.95,51.4642441026061,60.1290498143697,56.4982300607727,210,209,219,-0.718671465260358,0.882807487808807,2663.6,48988,43247,35541,2449.4,2162.35,1777.05,"1426"
"318","walk",0,9.09455670494719e-14,4.54735207822132e-14,-384,-222.1,-175.8,-0.31368649549159,-1.34156134985439,0.512919226648316,-0.752500086259881,0.148228538489956,-1.22665287096127,214,294.9,91.2,162.616436017882,152.616443895697,71.2110281228672,598,517,267,-0.613984204437524,0.946696122095728,6101.8,38620,44442,31936,1931,2222.1,1596.8,"2276"
"375","lie",0,-9.09503375390308e-14,-4.54754289780368e-14,-83.5,-82.4000000000001,-46.95,-0.544518091686914,-1.04725987554083,-1.12689994077312,0.117950739308453,-0.214776389261691,-0.364127569538709,81.5,61.5999999999999,36.05,41.1742126758203,39.5692597326444,23.6964909682958,165,144,83,-0.528381762458586,0.90039226229555,1710.4,33190,44548,35319,1659.5,2227.4,1765.95,"425"
"1631","lie",1.81898853618412e-13,-9.09500773305094e-14,4.54749627711026e-14,-23.6999999999998,-12.4000000000001,-25.3,-1.52972030275306,0.0669194949031389,-1.17292166993137,-0.205748613907353,0.387877514230931,0.210959071284819,18.3000000000002,14.5999999999999,24.7,13.3932426009694,6.51637613207961,15.6343077540187,42,27,50,-0.695747572046673,0.936044974327533,576.2,45494,43868,32306,2274.7,2193.4,1615.3,"620"
"2033","run",0,9.09522457348544e-14,-9.09439190621697e-14,-481,-747.35,-478.9,-0.216156935238985,0.415654139367908,-1.58040031464443,-0.143386356073195,-1.08634263408867,0.0708088557013934,516,322.65,496.1,237.850682926119,276.662681751053,339.688386613378,997,1070,975,-0.719004764731148,0.876017434190648,14029.6,44100,38707,32478,2205,1935.35,1623.9,"1192"
"1548","walk",9.09459139941671e-14,-1.81901715912147e-13,9.09487762879024e-14,-193.85,-187.05,-251.35,-1.05372832804492,-1.16061446603572,-0.811474339392181,0.525780161543034,-0.51258543856232,-0.428253775660337,309.15,142.95,174.65,163.194193330652,101.802944327186,116.290143040677,503,330,426,-0.595027366286502,0.954839823467988,6251.6,38437,46221,32707,1921.85,2311.05,1635.35,"2586"
