"","dog","behaviour","mean.x","mean.y","mean.z","min.x","min.y","min.z","kurt.x","kurt.y","kurt.z","skew.x","skew.y","skew.z","max.x","max.y","max.z","sd.x","sd.y","sd.z","range.x","range.y","range.z"
"33","belle","lie",1709.1,2211.25,1701.65,1624,2082,1610,2.65132319773053,2.588867079661,6.82074482205297,-0.155549796865793,0.0671928739793055,1.6314257178008,1795,2340,1884,43.8549043047519,64.6918810492028,55.8958382783737,171,258,274
"34","belle","lie",1690.95,2190.3,1713.4,1649,2143,1663,2.39365393954737,3.10485595183723,1.9525167231713,0.790036389194248,0.486700290137704,-0.412256723632655,1762,2253,1756,34.5123547672272,26.3740302889833,29.6655036239596,113,110,93
"35","belle","lie",1675.6,2179.25,1712.45,1624,2129,1665,1.90495519752663,2.39561289210912,1.89883278926808,0.0270364088548887,-0.228398891198946,-0.198569617644634,1730,2226,1755,31.4080110464629,25.0197290573912,26.3947263472719,106,97,90
"36","belle","lie",1673.1,2177.85,1719.05,1625,2131,1650,2.38709612015006,2.27304616641147,3.67012036714268,0.294594034190706,-0.0928104542115623,-0.841586926057823,1729,2218,1762,27.5010047663334,23.0543408402615,26.392732253207,104,87,112
"37","belle","lie",1676.55,2172,1715.5,1642,2144,1677,2.72624628148643,1.84451346290873,2.30122960322147,0.800893203672869,-0.0782713783098756,-0.535900646869924,1734,2201,1744,26.9570320871451,16.7583443473142,20.101060459064,92,57,67
"38","belle","lie",1672.75,2169.7,1721.1,1624,2131,1667,3.10213215070343,3.89075981101294,2.35169846940824,0.730449435251926,0.631532074479432,-0.290812721209965,1745,2217,1774,30.3538344061816,18.663502238044,28.1553958556699,121,86,107
"39","belle","lie",1662.35,2173.15,1737.05,1628,2139,1666,2.71325222854479,2.42638835947826,3.59801223391165,0.41725490892953,0.0393358009010929,-0.713826777994955,1718,2209,1784,23.3334523806487,17.7594304081255,28.3594874127829,90,70,118
"40","belle","lie",1689.95,2178.3,1704.6,1647,2150,1659,2.37599421421729,2.56031380050303,1.98854278218738,0.201571543068312,-0.112473558692249,-0.215832301135092,1739,2204,1739,23.941760476975,13.5650479658492,23.7495706332379,92,54,80
"41","belle","lie",1694.5,2180.4,1701.85,1651,2143,1652,1.73518682831193,2.4589981278988,6.75368055917693,0.0260561181561945,-0.261005849685552,1.2221669392521,1733,2211,1779,25.407209917452,17.2882680025015,24.2818429024002,82,68,127
"42","belle","lie",1678.25,2173.2,1709.7,1625,2094,1650,2.84175596819168,7.53551997458737,2.35164595312437,-0.190381977928193,-1.51893717347278,-0.60526167526907,1729,2217,1748,27.1620381376191,23.87379095864,29.3097792194813,104,123,98
"43","belle","lie",1672.75,2189.4,1727.5,1638,2156,1656,1.79059161718037,3.23921277933184,2.39805426019247,0.314845498187805,0.696294125221778,-0.810629049184628,1721,2252,1767,26.9851323587833,24.5000537056339,34.844768541875,83,96,111
"44","belle","lie",1653.05,2152,1704.65,1435,2012,1556,3.91984296709239,2.52811624349649,2.82380954976252,-1.16440856660042,0.234510471511785,-0.0589376852945706,1777,2353,1846,89.8094327480489,91.3431932185887,74.8445933778435,342,341,290
"45","belle","run",2220.15,2377.4,1624,1101,1954,513,4.60529657833329,4.44235483662655,3.12167517087609,-0.395709135237394,1.05798109541508,-0.661158998230482,3136,3232,2437,413.356132294252,298.057465317645,469.047410913023,2035,1278,1924
"46","belle","run",1610.2,2038.6,1895.35,0,942,0,3.98219922313653,2.40115142513412,2.30891231080083,0.516440112670332,-0.0529584728315167,0.0118935724025152,4095,3232,3914,924.713304076913,620.304882592763,1045.04179090448,4095,2290,3914
"47","belle","run",2188,2217.8,1605.8,248,930,0,4.01691452606891,5.64366374652918,2.06338974332518,-1.21740323453081,0.695019241116238,-0.317354926373879,3118,3861,3043,705.32209887249,567.074078517363,905.346609984555,2870,2931,3043
"48","belle","run",2039.45,2250.75,1490.85,1290,1875,0,2.74319117045935,2.05683384692966,2.60372494841435,0.104765954159436,-0.227964015080646,-0.800221861571693,2854,2537,2440,383.818827189682,186.072106849384,734.343622062014,1564,662,2440
"49","belle","run",1682.45,1991.4,1792.65,0,113,263,3.13001104496412,4.92180376697119,2.41637163899735,-0.84691042200264,0.208155194365017,-0.0514190363143994,2496,4039,3026,671.564197268311,773.657097985379,719.661929037005,2496,3926,2763
"50","belle","run",2154.2,2087.15,1782.65,709,1210,0,2.80358166347917,3.5315913907737,2.54989229761703,0.566972482468088,0.765078177923978,-0.65348893401325,4031,3319,2872,905.566911707217,499.252628277614,803.161403127469,3322,2109,2872
"51","belle","run",2239.3,2234.35,1673,930,1016,677,4.76336235326755,2.3896581834689,5.09566887056071,0.443466239295537,-0.37941069040244,1.25881889795485,3813,2977,3772,589.904729150127,550.301474791677,708.702223860814,2883,1961,3095
"52","belle","run",2002.65,2116.9,1799.4,1106,1489,0,2.6884522932243,2.54779443579978,3.2208304870716,0.619943136267435,0.11183033444795,-0.693446090388126,3341,2939,3041,637.874866048853,377.535902789042,722.877466503796,2235,1450,3041
"53","belle","run",2138.95,2075.75,1631.55,1510,378,620,4.27901497857183,7.27357004330831,2.30589273665812,0.968997008985031,-1.37771388232048,0.149295525113764,3339,3140,2815,428.315239907293,522.891341736654,586.550350062034,1829,2762,2195
"54","belle","run",2041.6,2167.75,1884.35,1052,1403,0,4.94707041307817,4.02751636410884,2.93156525662812,1.33362285582794,0.6457387211957,-0.661582803900317,4095,3264,3089,718.106384143303,408.447493887719,791.835926319668,3043,1861,3089
"55","belle","run",2182.95,2175.85,1778.1,1077,1481,506,1.91790892522197,2.42302542053965,2.96717713804859,-0.0699519524020559,0.224538049873626,0.366785377573682,3286,2965,3870,710.874885357177,404.529652156284,856.387817952148,2209,1484,3364
