dog,sample,burst-timestamp,sample-timestamp,behaviour,X,Y,Z
belle,118139,51:07.0,51:19.6,forage,2392,1830,1183
belle,118140,51:07.0,51:19.7,forage,2597,2027,1566
belle,118141,51:07.0,51:19.8,forage,2270,2257,1784
belle,118142,51:07.0,51:19.9,forage,2266,2339,1406
belle,118143,51:07.0,51:20.0,forage,2218,2065,1665
belle,118144,51:07.0,51:20.1,forage,2170,2217,1567
belle,118145,51:07.0,51:20.2,forage,2174,2106,1726
belle,118146,51:07.0,51:20.3,forage,2340,2168,1605
belle,118147,51:07.0,51:20.4,forage,2481,2196,1588
belle,118148,51:07.0,51:20.5,forage,2173,2208,1506
belle,118149,51:07.0,51:20.6,forage,2320,2292,1615
belle,118150,51:07.0,51:20.7,forage,2356,2105,1701
belle,118151,51:07.0,51:20.8,forage,2430,2223,1655
belle,118152,51:07.0,51:20.9,forage,2274,2209,1514
belle,118153,51:07.0,51:21.0,forage,2272,2451,1697
belle,118154,51:07.0,51:21.1,forage,2324,2165,1813
belle,118155,51:07.0,51:21.2,forage,2215,2471,1585
belle,118156,51:07.0,51:21.3,forage,2231,2352,1766
belle,118157,51:07.0,51:21.4,forage,2263,2288,1646
belle,118158,51:07.0,51:21.5,forage,2218,2417,1664
belle,118159,51:07.0,51:21.6,forage,2705,2401,1707
belle,118160,51:07.0,51:21.7,forage,2235,2011,1597
belle,118161,51:07.0,51:21.8,forage,2348,2144,1701
belle,118162,51:07.0,51:21.9,forage,2358,2271,1614
belle,118163,51:07.0,51:22.0,forage,2144,2141,1571
belle,118164,51:07.0,51:22.1,forage,2289,2135,1658
belle,118165,51:07.0,51:22.2,forage,2203,2299,1617
belle,118166,51:07.0,51:22.3,forage,2212,2369,1615
belle,118167,51:07.0,51:22.4,forage,2317,2201,1563
belle,118168,51:07.0,51:22.5,forage,2232,2312,1663
belle,118169,51:07.0,51:22.6,forage,2229,2366,1720
belle,118170,51:07.0,51:22.7,forage,2332,2205,1641
belle,118171,51:07.0,51:22.8,forage,2234,2167,1676
belle,118172,51:07.0,51:22.9,forage,2243,2307,1656
belle,118173,51:07.0,51:23.0,forage,2139,2131,1528
belle,118174,51:07.0,51:23.1,forage,2159,2204,1515
belle,118175,51:07.0,51:23.2,forage,2151,2197,1573
belle,118176,51:07.0,51:23.3,forage,2082,2059,1563
belle,118177,51:07.0,51:23.4,forage,2151,2188,1575
belle,118178,51:07.0,51:23.5,forage,2107,2197,1601
belle,118179,51:07.0,51:23.6,forage,2078,2169,1578
belle,118180,51:07.0,51:23.7,forage,2100,2244,1585
belle,118181,51:07.0,51:23.8,forage,2121,2223,1568
belle,118182,51:07.0,51:23.9,forage,2144,2344,1636
belle,118183,51:07.0,51:24.0,forage,2113,2020,1543
belle,118184,51:07.0,51:24.1,forage,2200,2150,1522
belle,118185,51:07.0,51:24.2,forage,2208,2097,1549
belle,118186,51:07.0,51:24.3,forage,2083,2004,1577
belle,118187,51:07.0,51:24.4,forage,2224,2257,1572
belle,118188,51:07.0,51:24.5,forage,2241,2273,1566
belle,118189,51:07.0,51:24.6,forage,2177,2135,1648
belle,118190,51:07.0,51:24.7,forage,2152,2238,1617
belle,118191,51:07.0,51:24.8,forage,2220,2183,1564
belle,118192,51:07.0,51:24.9,forage,2259,2220,1559
belle,118193,51:07.0,51:25.0,forage,2159,2196,1585
belle,118194,51:27.0,51:27.0,forage,2208,2143,1504
belle,118195,51:27.0,51:27.1,forage,2201,2107,1587
belle,118196,51:27.0,51:27.2,forage,2113,1981,1715
belle,118197,51:27.0,51:27.3,forage,2094,2178,1566
belle,118198,51:27.0,51:27.4,forage,2204,2379,1516
belle,118199,51:27.0,51:27.5,forage,2216,2189,1652
belle,118200,51:27.0,51:27.6,forage,2129,2368,1721
belle,118201,51:27.0,51:27.7,forage,2138,2320,1646
belle,118202,51:27.0,51:27.8,forage,2196,2381,1639
belle,118203,51:27.0,51:27.9,forage,2300,2343,1667
belle,118204,51:27.0,51:28.0,forage,2243,2332,1615
belle,118205,51:27.0,51:28.1,forage,2296,2247,1669
belle,118206,51:27.0,51:28.2,forage,2105,2286,1626
belle,118207,51:27.0,51:28.3,forage,2195,2326,1709
belle,118208,51:27.0,51:28.4,forage,2266,2379,1710
belle,118209,51:27.0,51:28.5,forage,2248,2461,1746
belle,118210,51:27.0,51:28.6,forage,2366,2339,1762
belle,118211,51:27.0,51:28.7,forage,2331,2373,1729
belle,118212,51:27.0,51:28.8,forage,2237,2403,1731
belle,118213,51:27.0,51:28.9,forage,2187,2334,1717
belle,118214,51:27.0,51:29.0,forage,2178,2425,1724
belle,118215,51:27.0,51:29.1,forage,2227,2441,1723
belle,118216,51:27.0,51:29.2,forage,2185,2434,1696
belle,118217,51:27.0,51:29.3,forage,2153,2370,1682
belle,118218,51:27.0,51:29.4,forage,2114,2449,1665
belle,118219,51:27.0,51:29.5,forage,2209,2308,1694
belle,118220,51:27.0,51:29.6,forage,2095,2260,1644
belle,118221,51:27.0,51:29.7,forage,2109,2343,1580
belle,118222,51:27.0,51:29.8,forage,2188,2292,1629
belle,118223,51:27.0,51:29.9,forage,2207,2297,1591
belle,118224,51:27.0,51:30.0,forage,2140,2224,1583
belle,118225,51:27.0,51:30.1,forage,2134,2245,1622
belle,118226,51:27.0,51:30.2,forage,2149,2241,1567
belle,118227,51:27.0,51:30.3,forage,2143,2280,1577
belle,118228,51:27.0,51:30.4,forage,2157,2298,1630
belle,118229,51:27.0,51:30.5,forage,2167,2253,1618
belle,118230,51:27.0,51:30.6,forage,2130,2263,1619
belle,118231,51:27.0,51:30.7,forage,2135,2283,1603
belle,118232,51:27.0,51:30.8,forage,2135,2310,1637
belle,118233,51:27.0,51:30.9,forage,2144,2282,1610
belle,118234,51:27.0,51:31.0,forage,2160,2258,1642
belle,118235,51:27.0,51:31.1,forage,2115,2303,1606
belle,118236,51:27.0,51:31.2,forage,2201,2343,1625
belle,118237,51:27.0,51:31.3,forage,2135,2282,1610
belle,118238,51:27.0,51:31.4,forage,2149,2241,1605
belle,118239,51:27.0,51:31.5,forage,2162,2260,1605
belle,118240,51:27.0,51:31.6,forage,2155,2255,1603
belle,118241,51:27.0,51:31.7,forage,2128,2250,1591
belle,118242,51:27.0,51:31.8,forage,2202,2243,1539
belle,118243,51:27.0,51:31.9,forage,2159,2219,1565
belle,118244,51:27.0,51:32.0,forage,2164,2261,1575
belle,118245,51:27.0,51:32.1,forage,2188,2258,1645
belle,118246,51:27.0,51:32.2,forage,2201,2196,1620
belle,118247,51:27.0,51:32.3,forage,2154,2193,1647
belle,118248,51:27.0,51:32.4,forage,2097,2267,1654
belle,118249,51:27.0,51:32.5,forage,2018,2273,1612
belle,118250,51:27.0,51:32.6,forage,2118,2358,1536
belle,118251,51:27.0,51:32.7,forage,2072,2338,1528
belle,118252,51:27.0,51:32.8,forage,2021,2355,1614
belle,118253,51:27.0,51:32.9,forage,2084,2183,1640
belle,118254,51:27.0,51:33.0,forage,2046,2265,1458
belle,118255,51:27.0,51:33.1,forage,2062,2155,1647
belle,118256,51:27.0,51:33.2,forage,2045,2125,1637
belle,118257,51:27.0,51:33.3,forage,2073,2342,1585
belle,118258,51:27.0,51:33.4,forage,2069,2336,1548
belle,118259,51:27.0,51:33.5,forage,2063,2200,1574
belle,118260,51:27.0,51:33.6,forage,2033,2282,1616
belle,118261,51:27.0,51:33.7,forage,2076,2197,1537
belle,118262,51:27.0,51:33.8,forage,2009,2113,1516
belle,118263,51:27.0,51:33.9,forage,1937,2198,1617
belle,118264,51:27.0,51:34.0,forage,1983,2315,1572
belle,118265,51:27.0,51:34.1,forage,1986,2279,1550
belle,118266,51:27.0,51:34.2,forage,1983,2138,1644
belle,118267,51:27.0,51:34.3,forage,1935,2295,1682
belle,118268,51:27.0,51:34.4,forage,2149,2128,1504
belle,118269,51:27.0,51:34.5,forage,2196,2135,1706
belle,118270,51:27.0,51:34.6,forage,2193,2082,1503
belle,118271,51:27.0,51:34.7,forage,2212,1950,1403
belle,118272,51:27.0,51:34.8,forage,2170,1995,1596
belle,118273,51:27.0,51:34.9,forage,2233,2009,1617
belle,118274,51:27.0,51:35.0,forage,2165,1996,1578
belle,118275,51:27.0,51:35.1,forage,2209,1994,1561
belle,118276,51:27.0,51:35.2,forage,2142,2030,1591
belle,118277,51:27.0,51:35.3,forage,2027,1968,1504
belle,118278,51:27.0,51:35.4,forage,2177,2175,1553
belle,118279,51:27.0,51:35.5,forage,2159,2117,1552
belle,118280,51:27.0,51:35.6,forage,2182,2097,1523
belle,118281,51:27.0,51:35.7,forage,2138,2005,1505
belle,118282,51:27.0,51:35.8,forage,2177,2074,1571
belle,118283,51:27.0,51:35.9,forage,2121,2198,1642
belle,118284,51:27.0,51:36.1,forage,2149,2086,1556
belle,118285,51:27.0,51:36.1,forage,2151,2090,1540
belle,118286,51:27.0,51:36.3,forage,2230,2092,1554
belle,118287,51:27.0,51:36.4,forage,2132,2039,1537
belle,118288,51:27.0,51:36.5,forage,2142,2073,1560
belle,118289,51:27.0,51:36.6,forage,2124,2105,1552
