"","burst","var.x","var.y","var.z","burst","index","sg.time","threshold.z","threshold.y","threshold.x"
"81",81,61.5384615384615,32.0861538461538,8.47384615384615,81,1,2020-07-21 06:29:09,"low","low","low"
"82",82,72.4384615384615,47.6184615384615,10.2538461538462,82,1,2020-07-21 06:29:20,"low","low","low"
"83",83,85.5646153846154,84.4815384615385,11.6246153846154,83,1,2020-07-21 06:29:40,"low","low","low"
"84",84,443.133846153846,596.8,269.773846153846,84,1,2020-07-21 06:30:16,"low","low","low"
"85",85,95.8415384615385,130.321538461538,19.6738461538462,85,1,2020-07-21 06:30:20,"low","low","low"
"86",86,94.4861538461538,262.358461538462,190.424615384615,86,1,2020-07-21 06:30:40,"low","low","low"
"87",87,66.3584615384615,42.8815384615385,19.1753846153846,87,1,2020-07-21 06:31:28,"low","low","low"
"88",88,9204.23384615385,5111.81538461538,2036.63538461538,88,1,2020-07-21 06:31:40,"high","high","high"
"89",89,15492.7953846154,17480.02,6336.69538461538,89,1,2020-07-21 06:32:07,"high","high","high"
"90",90,7238.31384615385,7721.64461538462,3066.71538461538,90,1,2020-07-21 06:32:20,"high","high","high"
"91",91,5561.04153846154,8435.53384615385,1594.72615384615,91,1,2020-07-21 06:32:40,"high","high","high"
"92",92,11417.8646153846,10623.2138461538,5737.62615384615,92,1,2020-07-21 06:33:08,"high","high","high"
"93",93,7905.87846153846,11922.7953846154,3105.00461538462,93,1,2020-07-21 06:33:20,"high","high","high"
"94",94,12354.1061538462,7328.85538461538,2632.47538461538,94,1,2020-07-21 06:33:40,"high","high","high"
"95",95,11263.4153846154,4137.52153846154,3653.05384615385,95,1,2020-07-21 06:34:09,"high","high","high"
"96",96,22151.9753846154,11529.2446153846,3025.19538461538,96,1,2020-07-21 06:34:20,"high","high","high"
"97",97,10739.9138461538,9946.71538461539,3016.58,97,1,2020-07-21 06:34:40,"high","high","high"
"98",98,23899.9384615385,11503.4338461538,3859.53846153846,98,1,2020-07-21 06:35:08,"high","high","high"
"99",99,9556.81384615385,9792.71384615385,3073.87846153846,99,1,2020-07-21 06:35:20,"high","high","high"
"100",100,20064.88,12531.4215384615,2652.97384615385,100,1,2020-07-21 06:35:40,"high","high","high"
