"","type","tag.serial.number","burst.start.timestamp","annotation","eobs_acceleration_sampling_frequency_per_axis","sample.timestamp","acceleration.x","acceleration.y","acceleration.z"
"100","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:09.100",1775,2397,1783
"101","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:09.200",1782,2392,1789
"102","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:09.300",1783,2391,1783
"103","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:09.400",1769,2401,1785
"104","acc",0,"2020-07-21 00:26:07.000","keep",10,"2020-07-21 00:26:09.500",1777,2393,1786
"105","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:20.000",1706,2342,1767
"106","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:20.100",1751,2319,1749
"107","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:20.200",1778,2351,1746
"108","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:20.300",1777,2402,1752
"109","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:20.400",1793,2382,1764
"110","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:20.500",1801,2381,1755
"111","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:20.600",1773,2391,1762
"112","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:20.700",1800,2415,1783
"113","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:20.800",1803,2402,1768
"114","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:20.900",1804,2405,1779
"115","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:21.000",1803,2405,1771
"116","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:21.100",1795,2403,1774
"117","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:21.200",1798,2400,1775
"118","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:21.300",1798,2402,1770
