"","behaviour","burst","mean.x","mean.y","mean.z","min.x","min.y","min.z","kurt.x","kurt.y","kurt.z","skew.x","skew.y","skew.z","max.x","max.y","max.z","sd.x","sd.y","sd.z","range.x","range.y","range.z"
"1896","stand",1896,1198.48419287876,1375.41567145957,228.690170933772,62.1972123846334,192.525278672674,154.806243260121,-1.93759262443786,-1.87214682839007,-1.45350458666136,0.221195111189028,0.228862600454651,0.495843323704943,2790.42077364926,2784.63428191842,333.761086868608,1161.41493201469,1037.68120314767,63.0174635703346,2728.22356126463,2592.10900324574,178.954843608488
"1897","stand",1897,989.512151328023,2138.35111861456,1052.49265487398,271.038700079836,541.670459752577,269.808025637195,-0.727486631420899,-1.03749103756696,-1.72937456485238,0.70336612839593,0.435569276200004,0.0634536354377902,2174.88981286219,4817.93837028191,1943.46744306302,587.023464751049,1373.94871768171,647.472016122461,1903.85111278236,4276.26791052933,1673.65941742583
"1898","stand",1898,629.060291801691,2145.09656980495,208.368161232396,84.0689014092174,1275.92200868087,105.415257964951,-1.99924702182384,-1.95439054277888,-1.54758506076198,0.194188943643326,0.255588018516341,0.238775458031829,1364.52573217532,3261.22379861221,345.706388988631,574.832310872168,862.016594742941,84.7343509410962,1280.4568307661,1985.30178993135,240.29113102368
"1899","stand",1899,822.858044522836,1306.95977035498,120.499285225778,110.882688543371,20.1465912001959,16.3518123469831,-1.94349779849804,-1.97043765072018,-1.90147369431073,0.239073010886678,0.200611576501715,0.220732119960778,1853.2122140496,3128.97435451809,263.241475982927,762.194650858322,1365.11232998791,103.841117305515,1742.32952550623,3108.8277633179,246.889663635943
"1900","stand",1900,1086.46967963708,1219.11533849942,881.317999510461,642.510152937183,769.749961666917,43.5200957996729,-1.71410661763161,-0.0800851828049303,-1.48416355249615,0.520935653692066,1.19304474406287,-0.406529373906824,1816.73844299261,2355.14169158198,1406.57200754881,480.731409939183,509.568492233914,490.674028426477,1174.22829005542,1585.39172991506,1363.05191174914
"1901","stand",1901,1825.87997257376,1995.8161360436,481.203474783181,412.557557066484,330.919026709089,91.2586440851987,-0.116893807533562,-0.236257196749644,-1.4669806519197,1.2228733933312,1.17343715775191,0.501903431174062,6919.45941290899,6820.22917892751,1163.05224453453,2267.95868318241,2193.57337059404,386.515851445844,6506.9018558425,6489.31015221842,1071.79360044933
"1902","stand",1902,926.97417413357,1827.62344758083,162.661518241996,72.1456406928465,207.645767193192,26.649797336765,0.302175359388589,-0.218029026077439,0.0291272682010648,1.37251404829276,1.18365256787869,1.24682194335913,3786.04305648491,7584.913306399,666.350118014419,1225.73616724975,2593.79675165513,219.501005203373,3713.89741579206,7377.26753920581,639.700320677654
"1903","stand",1903,333.285009142758,1936.277706721,313.730892687676,84.534144004288,205.582231348827,120.823138807276,-1.31144889447825,-1.62177535373333,0.688304049908786,0.627340005514976,0.446966037074486,1.43213739005532,836.01873178295,4865.76849982618,906.429712509959,271.032350557702,1757.88353113331,243.83007915654,751.484587778662,4660.18626847735,785.606573702682
"1904","stand",1904,307.457764793574,466.36168051399,223.73996392526,27.5296613749378,93.5913866953351,14.2238656041617,-1.50790951602946,-1.91550607052789,-1.86671758601609,-0.232670580163396,0.374853429994483,0.441144447412746,524.802286697127,1084.1962692505,557.674467782611,173.126075372557,433.5055207376,241.726015260315,497.272625322189,990.604882555167,543.450602178449
"1905","stand",1905,2044.59946166145,1101.27463009766,1261.38195905003,1354.34513407424,639.843112062726,440.535356197798,-1.73976317620183,-0.254999079686215,-1.77742183376106,0.391989869672631,0.320334071944632,0.341537979845973,2938.18717856011,1717.67946665765,2255.62311112983,617.88266923426,296.594635784004,699.398687790253,1583.84204448587,1077.83635459492,1815.08775493203
"1906","stand",1906,363.07349042068,836.562833272942,327.079809583705,166.715226410302,195.217739813526,156.08983233188,-1.49448896188644,0.434448292357023,-0.332683853212686,-0.0941317856496071,1.35781023211813,0.96401361597051,556.432341280833,2776.21937677308,674.167398907186,136.82831600356,816.422078860645,160.533125536,389.717114870531,2581.00163695955,518.077566575306
"1907","stand",1907,981.47275096366,7065.48721828956,1607.25524226887,431.666891209875,2225.05436673462,890.706938240861,-1.02589411735343,-0.624067844092594,-1.44099656877222,0.43524183959636,0.554658401592094,-0.462708552943916,1834.38850976411,15041.1743887667,2048.67698160764,439.611141491352,3826.2087696063,427.419577139222,1402.72161855424,12816.1200220321,1157.97004336678
"1908","stand",1908,802.274726599183,925.063531373318,449.648350492932,228.967483850142,405.11370142349,210.749346007262,0.278180392377594,-0.502635950382894,0.755651472945507,1.39952152888839,1.02571213878284,1.41143398089639,3072.0396597391,2184.97249999902,1216.38936437202,977.223973383932,594.328125191146,313.74971107156,2843.07217588896,1779.85879857552,1005.64001836476
"1909","stand",1909,1836.09144735582,6262.35997149745,934.322490036585,112.400034838898,2696.87809444673,656.291528406213,-0.251918735999613,0.147076855815632,-0.299326982725479,1.08408095048444,1.29813008495568,1.02952026216117,6089.71858382471,18682.2002397363,1542.78678748394,1930.15685145336,5368.46922524432,276.135592671979,5977.31854898581,15985.3221452895,886.495259077725
"1910","stand",1910,393.72908547344,5093.10709980774,452.989101782754,211.168156879707,545.469492303727,11.4954958041388,-1.80861468345311,0.169706723882666,0.122709981627068,0.247451853305411,1.31117178968946,1.26019181752232,598.430637202434,22820.6832087706,1903.64388057122,149.510169404664,7643.20154232118,627.170696728561,387.262480322727,22275.2137164668,1892.14838476709
"1911","stand",1911,2275.99170919717,3378.21719500721,812.828033475525,658.566068955168,1953.38402172346,405.214592759292,-1.36854221552513,-1.02358529734256,-1.85031320267988,0.66052069138617,-0.816078239519711,0.411265179096361,5344.76070578575,4172.58651889841,1447.04417561606,1725.39006814808,772.835391451568,429.496267472781,4686.19463683058,2219.20249717495,1041.82958285677
"1912","stand",1912,1029.65783587288,399.670474677126,229.79580818983,41.7429539697846,306.863855558269,41.2345840814254,-1.97931522643218,-1.63692017518473,-1.96821852661795,0.165654074523012,0.34168491084753,0.183643557217019,2336.83657056476,512.885999874277,483.529869431214,996.680250298468,75.7347623116155,191.169099854006,2295.09361659498,206.022144316008,442.295285349788
"1913","stand",1913,1375.1412494104,858.146711061544,284.210356304605,265.31820613836,471.596196668105,27.3731591660499,-1.90701666205296,-0.0211431808647946,-1.93101111078969,0.370576317238968,0.955179214931521,0.288563560174696,3142.67620639881,1624.26086980998,622.716024660547,1289.70844076126,340.206620488316,252.016905390504,2877.35800026045,1152.66467314187,595.342865494497
"1914","stand",1914,1543.6107753349,1319.16316175938,1070.18365414706,100.979158963198,922.727347043847,456.198631486177,-1.30872740252721,0.312937863954482,0.190031018736156,0.662769560432968,1.29522692053239,1.28565084454461,4456.16234694343,2355.63872522595,2884.10919621166,1582.18575205852,441.809743534602,783.449243933189,4355.18318798023,1432.9113781821,2427.91056472549
"1915","stand",1915,1074.49547600167,2782.95936082813,515.788892526121,152.76513280984,1132.83892318451,153.216225869135,0.383072092339742,-1.78976620633948,-0.185014147602871,1.41379035941403,-0.170885339977296,1.18559160319306,4568.73241057304,4269.36129684235,1824.81869456045,1486.05216955063,1226.13636624253,584.22128292137,4415.9672777632,3136.52237365784,1671.60246869132
"1916","stand",1916,1848.34163753077,4216.08027248156,809.784009967751,398.409382560105,1003.46534177421,430.071620036088,-0.781524963135944,-1.28437739624357,-1.0894886945277,0.92798120913908,0.672049916839483,0.582458950879296,5396.91723429974,10302.024555819,1385.3014958207,1730.43186217223,3356.60514184784,303.122710260445,4998.50785173964,9298.55921404475,955.229875784616
"1917","stand",1917,1906.79045116172,3712.46347707729,971.650503447354,574.895000390909,1039.18125395293,480.557304585875,0.341278607112685,-1.79618580162138,0.644335942670334,1.40580061197158,0.218502101791122,1.43880530946123,7009.37627184919,7072.52244804495,2707.34020327455,2180.7239789584,2277.97060518104,716.88544171261,6434.48127145828,6033.34119409202,2226.78289868867
"1918","stand",1918,2262.8847518305,5490.61438761747,681.315322721364,373.842790105449,1112.87294034428,85.3823061826016,0.190980441647023,-1.2014596966075,-0.564906199702552,1.33004566110667,0.559788946140391,1.03556262194338,9851.27357186843,13098.9937593736,2357.56796088672,3272.14566310625,4078.27045938349,790.973347977356,9477.43078176298,11986.1208190293,2272.18565470411
"1919","stand",1919,734.253612573442,1128.71050418506,1736.83617896865,369.613186860384,709.89565918911,44.6472385712802,-1.26047775172638,0.365592103703964,0.204330136675905,0.163598471275135,1.43964469653254,1.34037816076362,1214.00233666061,2795.53102138687,8522.60451817298,265.173582327774,711.943689677566,2926.02130513237,844.389149800223,2085.63536219776,8477.9572796017
"1920","stand",1920,1076.69637548773,1397.7128940334,2036.38937705057,639.365055041938,371.19501581163,548.851320544465,-0.795171409492426,0.138079710106038,-0.196147938444894,0.141091684755345,0.955484181253888,1.10195745658489,1608.54596556985,3179.25072445044,5559.45224737637,277.273373002492,782.014323551158,1578.50929294595,969.180910527912,2808.05570863881,5010.60092683191
"1921","stand",1921,1965.01843861335,2706.94600455268,750.820022534756,226.836493758435,741.3044341899,327.238349543879,0.183510352319121,-0.386866600259628,-0.32004461627311,1.31910812094584,1.07838309323464,1.02727217875592,8886.07976645891,8542.26285431554,1697.3124462565,2981.28286863662,2667.71502501208,434.695299955747,8659.24327270048,7800.95842012563,1370.07409671262
"1922","stand",1922,2570.17883614073,2406.58876167881,435.019451895146,706.164270742326,1209.64980490885,214.594261001148,-1.74151430123187,-1.79811798789101,-1.85389363582804,0.0896000936468443,0.248539972611644,0.131384553381914,4785.02645761564,3954.25927053169,687.125884181494,1544.73424556029,1086.18719117644,188.964870533311,4078.86218687332,2744.60946562284,472.531623180347
