"","dog","behaviour","index","mean.X","mean.Y","mean.Z","min.X","min.Y","min.Z","kurt.X","kurt.Y","kurt.Z","skew.X","skew.Y","skew.Z","max.X","max.Y","max.Z","sd.X","sd.Y","sd.Z","range.X","range.Y","range.Z","pitch","roll","odba"
"58","belle","run",14,1883.3,2187.4,1861.7,122,1684,423,3.2997899749677,0.681206879559769,-0.0754028291526443,0.737831621316342,1.08546858027449,-0.520396765023929,4095,3289,2752,721.287671642291,416.891554749017,590.327750179152,3973,1605,2329,0.0692321998326916,-0.116901305524809,23496.8
"59","belle","run",15,2108.7,2217.8,1730.45,467,1712,379,1.46858192500869,2.72325036780444,-1.21458768030129,0.953306737509398,1.63220001981288,-0.281507397533042,4095,3570,2956,809.905783994267,423.738325409742,741.693473002653,3628,1858,2577,0.0741905637812757,-0.0256606894316417,28707.1
"60","belle","run",16,2097.85,2383.4,1695.05,967,1857,244,2.02505471247948,-0.50590845966564,-1.13495335735871,1.13689658239352,0.875772113923163,-0.553410023235661,4036,3403,2638,636.171796972451,479.330937211882,796.724311758696,3069,1546,2394,-0.0117129901867192,0.37046162597423,29852.3
"61","belle","run",17,2041.9,2131.9,1823.3,900,1793,274,-0.875452448909776,1.22784876258966,-1.47170121583112,0.5385155681044,1.31442400216587,-0.357312306761631,3490,2932,2860,708.569864326432,279.826431165727,854.37678733498,2590,1139,2586,-0.0253302509750503,0.520633783864352,30294.4
"62","belle","run",18,1835.4,2181.05,1907.75,0,1175,896,0.270437907791157,-0.204627619191437,0.441095061938512,-0.346283846378992,-0.613337199546537,0.792482009370156,3164,2810,4005,746.971739055346,419.702585798939,766.982939150128,3164,1635,3109,-0.000577721159367389,0.861007713409765,28852.4
"63","belle","run",19,1839.1,2331.75,1752.35,0,1255,38,-0.478340520968918,-0.536012955790945,-1.18724328620406,-0.366572239829693,0.351013605396388,-0.344854032631527,3606,3449,3194,910.211710479895,577.844440458175,883.143385568665,3606,2194,3156,-0.159603483489919,0.182468428376816,37383.5
"64","belle","run",20,2033.35,2041.75,1654.25,974,1201,116,-0.858861369177059,-0.693142908317627,-0.920531024918118,0.360970716121995,0.442067676382001,-0.549108694444488,3353,3014,2456,639.927567858475,461.647607118129,682.11735948095,2379,1813,2340,-0.0298804852437251,-0.360232489876003,29490.4
"65","belle","run",21,1954.95,2316.55,1726.05,1271,1646,2,0.0696391461574,0.00439697986056364,0.0192009789375347,0.860388760911266,1.11088853124743,-1.05046303104395,3235,3712,2515,548.961936653842,596.85777861626,702.781726614429,1964,2066,2513,0.156010994945551,0.0395346318536265,28794.1
"66","belle","run",22,1854.7,2176.4,1787.15,1023,1342,724,2.23145889496279,-1.18677971382022,-1.29927599921599,1.39892791059325,0.159619775556291,0.0259374267412332,4095,3108,2902,716.546623157136,518.328325129525,652.313153324383,3072,1766,2178,0.0787103961805788,0.623982909694747,29442.2
"67","belle","run",23,2059.25,2211.8,1740.2,160,1118,0,0.320795377422129,-0.241180817327166,0.338752466357706,-0.590965992755376,0.561032551454573,-0.319843395618013,3375,3574,3645,723.361296856193,644.380943231564,841.770602580312,3215,2456,3645,-0.0570328615401707,-0.492369467704573,32711
